time,relative_humidity_2m_mean (%),precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C)
2025-01-01T00:00,83,0,22.9,18.2,14.4
2025-01-02T00:00,85,0,21.9,17.3,13.5
2025-01-03T00:00,83,0,21.7,17.2,13.2
2025-01-04T00:00,83,0,23.4,18.6,14.9
2025-01-05T00:00,82,0,26.4,20,14.5
2025-01-06T00:00,79,0,28.1,21,15.4
2025-01-07T00:00,75,0,26.3,21,16.1
2025-01-08T00:00,81,0,22.3,19.1,16.3
2025-01-09T00:00,78,0,22.4,17.3,13.1
2025-01-10T00:00,76,0,23.4,17.8,13.1
2025-01-11T00:00,72,0,26.3,19.4,13.9
2025-01-12T00:00,69,0,28.1,20.5,14.5
2025-01-13T00:00,72,0,27.1,20.8,15.3
2025-01-14T00:00,72,0,25.5,20.2,15.4
2025-01-15T00:00,71,0,26,20,14.9
2025-01-16T00:00,76,0,26.6,20.4,15.2
2025-01-17T00:00,73,0,26.4,20.3,14.7
2025-01-18T00:00,74,0,26,20.2,15.6
2025-01-19T00:00,67,0,26,19.7,14.6
2025-01-20T00:00,72,0,24.8,19,13.9
2025-01-21T00:00,77,0,24.3,18.9,14.1
2025-01-22T00:00,79,0,24.8,19.3,14.3
2025-01-23T00:00,82,0,23.4,18.4,14.3
2025-01-24T00:00,84,0,22.5,17.5,13.6
2025-01-25T00:00,77,0,24.1,19.1,15.6
2025-01-26T00:00,72,0,24.2,18.5,13.2
2025-01-27T00:00,75,0,24.5,18.8,13.7
2025-01-28T00:00,69,0,25.2,19.7,14.8
2025-01-29T00:00,66,0,26,20,14.8
2025-01-30T00:00,79,0.1,26.4,20.7,15.2
2025-01-31T00:00,85,1.7,27.3,22.8,19.9
2025-02-01T00:00,82,0,27.3,23.1,19.8
2025-02-02T00:00,81,0,26.8,22.8,19.4
2025-02-03T00:00,72,0,27.4,22.3,17.7
2025-02-04T00:00,68,0,26.4,20.8,15.1
2025-02-05T00:00,73,0,27.5,21.3,15.8
2025-02-06T00:00,71,0,29.4,22.7,17.1
2025-02-07T00:00,56,0,27.1,21.2,16.1
2025-02-08T00:00,59,0,26.9,20.1,14.1
2025-02-09T00:00,57,0,26.8,20.2,14.6
2025-02-10T00:00,61,0,28.6,21.3,14.4
2025-02-11T00:00,76,0,27.7,22.2,16.6
2025-02-12T00:00,78,0.2,28.9,23.7,19.7
2025-02-13T00:00,75,0.1,29.6,24.8,20.8
2025-02-14T00:00,55,0,27.4,22.7,18
2025-02-15T00:00,57,0,28.7,21.8,15.1
2025-02-16T00:00,64,0,30.3,23,16.1
2025-02-17T00:00,71,0.1,29.9,24.1,18.4
2025-02-18T00:00,74,2.4,29.6,24.4,20.3
2025-02-19T00:00,73,0.5,30,24.6,20.3
2025-02-20T00:00,69,0,31.3,24.4,19
2025-02-21T00:00,68,0,31,24.8,19.4
2025-02-22T00:00,67,0,31.4,25.2,19.4
2025-02-23T00:00,71,0.7,29.4,24,20.2
2025-02-24T00:00,66,0,30.3,23.7,17.9
2025-02-25T00:00,60,0,30.6,24,18.4
2025-02-26T00:00,59,0,29.9,23.4,17.4
2025-02-27T00:00,59,0,30.3,23.6,17.1
2025-02-28T00:00,63,0,30.3,24.6,19.3
2025-03-01T00:00,68,0,32.2,26,19.8
2025-03-02T00:00,68,0,33.6,27.3,22.6
